id,source,amount,transaction_date,description,reference,account_number,counterparty,status
TB_00032,totalbank,31790.79,2025-10-19T17:21:24.230948,JUROS CREDITOS,REF23160,12345-6,EMPRESA_5,pending
TB_00033,totalbank,36722.17,2025-10-21T17:21:24.230948,BOLETO ENTRADA,REF99704,12345-6,EMPRESA_6,pending
TB_00034,totalbank,17090.63,2025-11-11T17:21:24.230948,SAQUE CONTA,REF63388,12345-6,EMPRESA_7,pending
TB_00035,totalbank,34920.72,2025-11-01T17:21:24.230948,PAGAMENTO FATURA,REF22299,12345-6,EMPRESA_5,pending
TB_00036,totalbank,4336.11,2025-11-06T17:21:24.230948,SAQUE CONTA,REF53655,12345-6,EMPRESA_7,pending
TB_00037,totalbank,6948.98,2025-10-22T17:21:24.230948,SAQUE CONTA,REF64274,12345-6,EMPRESA_8,pending
TB_00038,totalbank,27827.45,2025-11-02T17:21:24.230948,TRANSFERENCIA SAIDA,REF65844,12345-6,EMPRESA_5,pending
TB_00039,totalbank,3248.73,2025-11-15T17:21:24.230948,JUROS CREDITOS,REF15199,12345-6,EMPRESA_1,pending
TB_00040,totalbank,49259.13,2025-11-05T17:21:24.230948,JUROS CREDITOS,REF61394,12345-6,EMPRESA_10,pending
TB_00041,totalbank,43027.2,2025-10-29T17:21:24.230948,BOLETO ENTRADA,REF28479,12345-6,EMPRESA_6,pending
TB_00042,totalbank,30113.7,2025-10-23T17:21:24.230948,BOLETO ENTRADA,REF42330,12345-6,EMPRESA_4,pending
TB_00043,totalbank,38729.44,2025-10-25T17:21:24.230948,PAGAMENTO FORNECEDOR,REF34785,12345-6,EMPRESA_8,pending
TB_00044,totalbank,25836.9,2025-11-05T17:21:24.230948,PAGAMENTO FATURA,REF98660,12345-6,EMPRESA_9,pending
TB_00045,totalbank,7821.62,2025-10-28T17:21:24.230948,BOLETO ENTRADA,REF86428,12345-6,EMPRESA_1,pending
TB_00046,totalbank,39811.13,2025-11-12T17:21:24.230948,TRANSFERENCIA SAIDA,REF12795,12345-6,EMPRESA_3,pending
TB_00047,totalbank,14114.1,2025-10-28T17:21:24.230948,BOLETO ENTRADA,REF31925,12345-6,EMPRESA_9,pending
TB_00048,totalbank,26031.15,2025-10-28T17:21:24.230948,TAXAS BANCARIAS,REF25024,12345-6,EMPRESA_7,pending
TB_00049,totalbank,27419.24,2025-10-26T17:21:24.230948,DEPOSITO DE CHEQUE,REF79804,12345-6,EMPRESA_7,pending
TB_00050,totalbank,43947.56,2025-11-15T17:21:24.230948,DEVOLUCAO CLIENTE,REF17383,12345-6,EMPRESA_10,pending
